id,vrsta_jedi
20270,morska hrana: raki
20271,sladice: torte
20272,enolončnice
20275,priloge: ostalo
20276,sladice: pecivo
20277,sladice: pecivo
20278,ozimnica: sladki shranki
20279,sladice: pecivo
20280,kruh
20281,kruh
20282,kruh
20283,sladice: palačinke
20284,sladice: ostalo
20285,mesne jedi: govedina
20286,sladice: pecivo
20287,morska hrana: ribe
20288,sladice: torte
20289,sladice: torte
20290,eksotika: ostale dežele
20291,juhe in zakuhe: ostale juhe
20292,sladice: ostalo
20293,mesne jedi: ostalo
20294,testenine
20295,sladice: pecivo
20296,sladice: ostalo
20298,solate
20299,sladice: pecivo
20300,sladice: pecivo
20301,mesne jedi: perutnina
20302,kruh
20303,eksotika: Indija
20304,sladice: torte
20305,sladice: kreme za torte in peciva
20306,sladice: piškoti
20307,solate
20308,sladice: piškoti
20309,sladice: torte
20310,testenine
20311,mesne jedi: ostalo
20312,gobje jedi
20313,sladice: pecivo
20314,juhe in zakuhe: zelenjavne juhe
20315,testenine
20316,sladice: pecivo
20317,sladice: torte
20318,sladice: pudingi
20319,mesne jedi: govedina
20320,sladice: pecivo
20321,juhe in zakuhe: jušne zakuhe
20322,eksotika: Kitajska
20323,sladice: palačinke
20324,mesne jedi: svinjina
20325,sladice: ostalo
20326,predjedi: hladne
20327,mesne jedi: drobnica
20328,sladice: ostalo
20329,mesne jedi: perutnina
20330,sladice: pecivo
20331,sladice: pudingi
20332,testenine
20333,sladice: ostalo
20334,gobje jedi
20337,sladice: ostalo
20338,testenine
20339,sladice: torte
20340,sladice: torte
20341,sladice: pecivo
20342,sladice: pecivo
20343,sladice: pecivo
20344,sladice: pecivo
20345,sirove jedi
20346,sladice: pecivo
20347,zelenjavne jedi
20348,mesne jedi: perutnina
20349,mesne jedi: ostalo
20350,solate
20351,sladice: ostalo
20352,zelenjavne jedi
20355,mesne jedi: perutnina
20356,sladice: pecivo
20357,juhe in zakuhe: ostale juhe
20358,sladice: pecivo
20359,sladice: pudingi
20360,morska hrana: ribe
20361,sladice: palačinke
20363,kruh
20364,kruh
20365,ozimnica: pijače
20366,juhe in zakuhe: ostale juhe
20367,enolončnice
20368,sladice: piškoti
20369,sladice: pecivo
20370,ostale jedi: polizdelki
20371,sladice: pecivo
20372,zelenjavne jedi
20373,priloge: ostalo
20374,jajčne jedi: omlete
20375,prikuhe
20376,enolončnice
20378,juhe in zakuhe: zelenjavne juhe
20379,sladice: torte
20380,sladice: ostalo
20381,sladice: pecivo
20382,sladice: sladoledi
20384,sladice: ostalo
20385,mesne jedi: svinjina
20386,sladice: pecivo
20387,sladice: pecivo
20388,priloge: ostalo
20389,testenine
20390,morska hrana: ribe
20391,sladice: pecivo
20392,mesne jedi: sesekljano meso
20393,omake: prelivi
20394,sladice: ostalo
20395,predjedi: tople
20396,kruh
20397,predjedi: namazi
20398,sladice: ostalo
20399,sladice: ostalo
20400,zelenjavne jedi
