id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20085,Orehovo - skutine kocke,sladice: pecivo,18,11,2014,90 minut,1
20086,Jesenska juha »ala fasulas«,juhe in zakuhe: zelenjavne juhe,17,11,2014,30 minut,1
20087,Harmonika kolač s cimetom,sladice: ostalo,18,11,2014,120 minut,2
20088,Pečene krače divjega prašiča ,mesne jedi: divjačina,17,11,2014,4+ ur,3
20089,Sočni polpetki,morska hrana: ostalo,19,11,2014,60 minut,1
20090,Kokosove palčke,sladice: pecivo,19,11,2014,60 minut,2
20091,Izvrstno pecivo brez peke za manj kot 5€,sladice: pecivo,20,11,2014,45 minut,1
20092,File v ovoju s slanino ,mesne jedi: perutnina,21,11,2014,75 minut,2
20093,Jajčna solata,solate,24,11,2014,60 minut,2
20094,Babičina vroča čokolada,napitki: brezalkoholni,24,11,2014,15 minut,1
20095,Fižolovi njoki s kislo repo in hrustljavo slanino,priloge: ostalo,25,11,2014,45 minut,2
20096,Skutine rezine z višnjami,sladice: pecivo,25,11,2014,30 minut,2
20097,Pirin kruh iz ponve,kruh,26,11,2014,30 minut,1
20098,Korenčkova pita z jabolki,sladice: pecivo,26,11,2014,60 minut,2
20099,Moja mega raca,mesne jedi: perutnina,26,11,2014,150 minut,3
20101,Svinjski medaljončki v ovoju slanine s skutno-smetanovo omako,mesne jedi: svinjina,27,11,2014,60 minut,2
20102,Ajdovi polpeti,zelenjavne jedi,27,11,2014,60 minut,2
20103,Božični piškoti,sladice: piškoti,1,12,2014,75 minut,1
20104,Medeni božični piškoti,sladice: piškoti,2,12,2014,60 minut,1
20105,Pogača žemljevka,sladice: ostalo,2,12,2014,120 minut,1
20106,Jajca s porom in mandarino,jajčne jedi: ostalo,2,12,2014,15 minut,1
20107,Metini piškoti,sladice: piškoti,2,12,2014,120 minut,2
20108,Vložena paprika drugače,ozimnica: ostalo,3,12,2014,4+ ur,2
20109,Mekike,jajčne jedi: ostalo,3,12,2014,30 minut,2
20110,Banane v testu s pudingom,sladice: ostalo,3,12,2014,45 minut,1
20111,Tortilje na moj način :),zelenjavne jedi,3,12,2014,30 minut,2
20112,Testo za najboljše tortilje,ostale jedi: dodatki jedem,4,12,2014,15 minut,1
20113,Čokoladni muffini,sladice: pecivo,4,12,2014,30 minut,1
20114,Super banana,sladice: pecivo,4,12,2014,60 minut,2
20115,Medena potica,sladice: potice,5,12,2014,150 minut,4
20116,Slastni ocvirkovi kolački,ostale jedi: dodatki jedem,5,12,2014,90 minut,2
20117,Smetanova omaka z tuno in bučkami,omake: tople,6,12,2014,30 minut,1
20118,Piščanec po kmečko,mesne jedi: perutnina,6,12,2014,60 minut,2
20119,Ekspresna pica brez vzhajanja,mesne jedi: ostalo,6,12,2014,15 minut,1
20120,Rustična borovničevo - čokoladna torta,sladice: torte,7,12,2014,60 minut,1
20121,Perutninski narastek,mesne jedi: sesekljano meso,7,12,2014,45 minut,2
20122,Odlična pogača,enolončnice,7,12,2014,60 minut,1
20123,Skutina rezina z goji jagodami,sladice: pecivo,8,12,2014,60 minut,2
20124,Kolerabin pomfrit,priloge: ostalo,8,12,2014,60 minut,1
20125,Eksotična limonada,napitki: brezalkoholni,9,12,2014,5 minut,1
20126,Piškoti za lenuhe,sladice: piškoti,11,12,2014,45 minut,1
20127,Lososov tartar,morska hrana: ribe,11,12,2014,15 minut,2
20128,Marmelada iz malin in chia semen,ozimnica: sladki shranki,11,12,2014,30 minut,1
20129,Zeleni smoothie,napitki: brezalkoholni,12,12,2014,5 minut,1
20130,Mesne kroglice,mesne jedi: sesekljano meso,12,12,2014,60 minut,2
20131,Kuhano pivo ,eksotika: ostale dežele,15,12,2014,45 minut,1
20132,Tartar iz rakovih repkov; manga in avokada ,morska hrana: raki,15,12,2014,60 minut,3
20133,Testo za pizzo,kruh,15,12,2014,120 minut,1
20134,Lignji na pirini "rižoti" ,morska hrana: ostalo,16,12,2014,90 minut,3
20135,Ingverjev čaj ,napitki: brezalkoholni,16,12,2014,15 minut,1
20136,Pehtranova potica,sladice: potice,16,12,2014,180 minut,2
20137,Pecivo na lončke,sladice: pecivo,16,12,2014,60 minut,1
20138,Vanilijev puding z jabolki in cimetom,sladice: pudingi,16,12,2014,15 minut,1
20139,Malo bolj zdrava orehova potica,sladice: potice,17,12,2014,120 minut,3
20140,Pečene curry perutničke,mesne jedi: perutnina,17,12,2014,60 minut,1
20141,Vege tortellini z okusom po dimljenem siru,predjedi: tople,17,12,2014,75 minut,3
20142,Kardamomov kolač,sladice: pecivo,18,12,2014,75 minut,1
20143,Domači prijatelj,sladice: pecivo,18,12,2014,60 minut,2
20144,Kokosovi poljubčki,sladice: piškoti,18,12,2014,75 minut,2
20145,Ingverjevi medeni piškotki,sladice: piškoti,19,12,2014,30 minut,2
20146,Rustikalni piškoti s kakavom; goji jagodami in arašidi ,sladice: piškoti,22,12,2014,60 minut,2
20147,Čajni avokado piškotki s konopljo,sladice: piškoti,22,12,2014,60 minut,2
20148,Toffifee mafini,sladice: pecivo,22,12,2014,60 minut,2
20149,Panettone,sladice: pecivo,23,12,2014,4+ ur,4
20150,Vodne blazinice,sladice: piškoti,23,12,2014,120 minut,3
20151,Božični čokoladni liker,napitki: alkoholni,23,12,2014,30 minut,1
20152,Piškoti stare mame Kissinger,sladice: piškoti,24,12,2014,120 minut,2
20153,Ingverjevi piškoti,sladice: piškoti,24,12,2014,30 minut,1
20154,Zelenjavna torta z rdečim zeljem in orehi ter konjakovo smetano,zelenjavne jedi,24,12,2014,90 minut,2
20155,Makov nadev za potico,ostale jedi: dodatki jedem,25,12,2014,30 minut,2
20156,Rožičev nadev za potico ,ostale jedi: dodatki jedem,25,12,2014,30 minut,2
20157,Puranji zrezki v smetanovi omaki,mesne jedi: perutnina,26,12,2014,30 minut,2
20159,Kako porabiti beljake,sladice: pecivo,27,12,2014,45 minut,1
20160,Kuhano vino,napitki: alkoholni,27,12,2014,30 minut,1
20161,"After eight" pita ,sladice: pecivo,27,12,2014,150 minut,2
20162,Torta Ljubljana po prekmursko,sladice: torte,29,12,2014,60 minut,3
20163,Bananino - čokoladni shake,napitki: brezalkoholni,29,12,2014,75 minut,1
20164,Ponarejeni cake popsi,sladice: ostalo,29,12,2014,90 minut,2
20165,Krompirjeva solata s feto; kaprami in olivami ,solate,29,12,2014,30 minut,2
20166,Parmigiana z jajčevci,zelenjavne jedi,30,12,2014,30 minut,3
20167,Kolač novoletno - božični ,sladice: ostalo,2,1,2015,75 minut,1
20168,Solata; da te kap ,solate,30,12,2014,15 minut,2
20169,Polnjeni kalamari malo drugače,morska hrana: ostalo,30,12,2014,60 minut,3
20170,Vroče hladen vegetarijanski krožnik,zelenjavne jedi,30,12,2014,60 minut,1
20171,Krvavice z zapečenim kislim zeljem,mesne jedi: svinjina,2,1,2015,120 minut,1
20172,Bučna rulada,sladice: pecivo,2,1,2015,45 minut,2
20173,Zelenka« ala fasulas,sladice: pecivo,3,1,2015,45 minut,1
20174,Beljakov kolač,sladice: pecivo,3,1,2015,60 minut,3
20175,Sirup vitamin C,napitki: brezalkoholni,3,1,2015,30 minut,1
20176,Solatna bomba 2 »ala fasulas«,solate,3,1,2015,60 minut,1
20177,Pravi istrski taco (ali pešt),ostale jedi: dodatki jedem,5,1,2015,15 minut,1
20178,Twix,sladice: palačinke,5,1,2015,120 minut,2
20180,Tortelini z gobami,testenine,6,1,2015,120 minut,2
20181,Bananino - karamelna pita (Banoffee) ,sladice: ostalo,6,1,2015,60 minut,2
20182,Pudingovo pecivo ,sladice: pudingi,6,1,2015,60 minut,1
20183,Zaljubljeno testo,kruh,7,1,2015,150 minut,2
20184,Bananina torta,sladice: torte,7,1,2015,60 minut,1
20185,Polpeti na moj način,mesne jedi: mešano meso,7,1,2015,60 minut,2
20186,Ajdova torta z ribezovo marmelado,sladice: torte,7,1,2015,180 minut,1
20187,Brstični ohrovt s poširanim jajcem na kruhu,jajčne jedi: ostalo,8,1,2015,30 minut,3
20188,Tirolski knedli z gosto čebulno juho oz. "Kasspeckknödelsuppe" ,enolončnice,8,1,2015,75 minut,3
20189,Domači ajvar,ozimnica: slani shranki,9,1,2015,180 minut,2
20190,Domač čokoladni namaz,ostale jedi: dodatki jedem,9,1,2015,15 minut,1
20191,Piščančja nabodala z ananasom,predjedi: tople,10,1,2015,60 minut,1
20192,Fokača / Focaccia,kruh,10,1,2015,15 minut,1
20193,Bajadera,sladice: ostalo,10,1,2015,120 minut,1
20194,Trideset minutne bombetke,kruh,12,1,2015,45 minut,1
20195,Ajdove rezine,sladice: pecivo,12,1,2015,60 minut,2
20196,Zelje s kvinojo,zelenjavne jedi,13,1,2015,30 minut,1
20197,Pečene polnjene palačinke,sladice: palačinke,13,1,2015,45 minut,1
20198,Kakijeve čašice,sladice: ostalo,14,1,2015,45 minut,3
20199,Okusna ponev z lignji,morska hrana: ostalo,14,1,2015,45 minut,2
20200,Burrito z jajci,jajčne jedi: ostalo,16,1,2015,30 minut,3
20201,Kunec z mladim grahom in šampinjoni,mesne jedi: ostalo,16,1,2015,90 minut,3
20202,Pražena telečja jetra s krompirjem po Zadarsko,mesne jedi: notranji deli,17,1,2015,45 minut,2
20203,Testeninčica,solate,17,1,2015,30 minut,1
20204,Naan,kruh,20,1,2015,30 minut,2
20205,Zmajev kolač,sladice: pecivo,20,1,2015,75 minut,2
20206,Rožičevi muffini s čokolado,sladice: pecivo,20,1,2015,45 minut,1
20207,Muffini s pistacijami,sladice: pecivo,21,1,2015,60 minut,2
20208,Muffini iz ajdove moke,sladice: pecivo,21,1,2015,60 minut,2
20209,Kavna torta,sladice: torte,21,1,2015,60 minut,2
20210,Tomov souffle (sufle) ,sladice: ostalo,21,1,2015,30 minut,2
20211,Ajdova torta z ribezovo marmelado; lešniki in jabolki ,sladice: torte,22,1,2015,120 minut,3
20212,Kivi in mascarpone pita,sladice: torte,22,1,2015,75 minut,2
20213,Koruzni kruh,kruh,22,1,2015,150 minut,3
20214,Pecivo s srcem,sladice: pecivo,23,1,2015,120 minut,2
20215,Pomarančno - čokoladni marmorni kolač,sladice: pecivo,23,1,2015,60 minut,3
20216,Finski božični piškoti,sladice: piškoti,26,1,2015,240 minut,3
20217,Sadna jogurtova strjenka,predjedi: hladne,27,1,2015,30 minut,2
20218,Pirin narastek z gobicami,priloge: ostalo,27,1,2015,75 minut,1
20219,Špageti s česnom; oljem in čilijem ,testenine,30,1,2015,15 minut,1
20220,Ričota,enolončnice,30,1,2015,150 minut,2
20221,Pasijonkin tiramisu,sladice: ostalo,31,1,2015,60 minut,1
20222,Francoska solata - strjenka,solate,31,1,2015,4+ ur,2
20223,Rižev narastek,sladice: ostalo,31,1,2015,60 minut,2
20224,Napitek za lepši spanec,napitki: brezalkoholni,31,1,2015,30 minut,1
20225,Peresno lahko pecivo z grškim jogurtom,sladice: pecivo,2,2,2015,30 minut,2
20226,Indijančki,sladice: pecivo,2,2,2015,120 minut,3
20227,Čokoladni hlebčki,sladice: piškoti,2,2,2015,240 minut,2
20228,Nutellčki,sladice: piškoti,2,2,2015,75 minut,2
20229,Moj domači kruhek,kruh,3,2,2015,150 minut,2
20230,Čokoladni kolač,sladice: pecivo,3,2,2015,45 minut,1
20231,Limonini kolački,sladice: pecivo,3,2,2015,60 minut,2
20232,Pečena svinjska rebrca s šampanjcem,mesne jedi: svinjina,3,2,2015,90 minut,2
20233,Torta čokoladna mavrica,sladice: torte,4,2,2015,90 minut,3
20234,Pasijonkina pita,sladice: ostalo,4,2,2015,90 minut,2
20235,Slana pita,sirove jedi,4,2,2015,120 minut,3
20236,Kavina torta z ricotto,sladice: torte,5,2,2015,60 minut,1
20237,Piškotki Philadelphija,sladice: piškoti,5,2,2015,75 minut,1
20238,Mandljev kruh ,kruh,5,2,2015,60 minut,2
20239,Narastek iz prosene kaše,sladice: ostalo,6,2,2015,75 minut,2
20240,Jabolčna torta z orehi; belo čokolado in cimetom ,sladice: torte,6,2,2015,180 minut,3
20241,Pomarančni marmorni kolač,sladice: pecivo,6,2,2015,60 minut,2
20242,Medenjaki,sladice: piškoti,10,2,2015,30 minut,2
20243,Fini keksi,sladice: piškoti,10,2,2015,4+ ur,2
20244,Čokoladni kolački z avokadom; banano in mandlji  ,sladice: pecivo,11,2,2015,30 minut,2
20245,Presni ''sirni'' namaz,predjedi: namazi,11,2,2015,5 minut,1
20246,Krekerji iz semen,sladice: slano pecivo,11,2,2015,60 minut,2
20247,Marmeladni muffini,sladice: pecivo,11,2,2015,30 minut,1
20248,Borovničeva "krašotica" ,sladice: torte,12,2,2015,150 minut,2
20249,Hitri krofi,sladice: pecivo,12,2,2015,90 minut,3
20250,Litrski kruh,kruh,12,2,2015,150 minut,1
20251,Žepki z avokadom,sladice: pecivo,12,2,2015,45 minut,2
20252,Bučkina juha,juhe in zakuhe: zelenjavne juhe,13,2,2015,30 minut,1
20253,Opičji kruh aka Monkey Bread,sladice: ostalo,13,2,2015,120 minut,3
20254,Valentinov kolač s srcem,sladice: ostalo,13,2,2015,90 minut,3
20255,Hrustljavi čokolini,sladice: piškoti,14,2,2015,75 minut,2
20256,Tabasco omaka malce drugače,omake: prelivi,14,2,2015,30 minut,1
