id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20370,Žitni polpeti,ostale jedi: polizdelki,30,4,2015,30 minut,2
20371,Karamelne lunice,sladice: pecivo,30,4,2015,45 minut,2
20372,Rumena soja v zrnju s čebulo in šparglji,zelenjavne jedi,1,5,2015,75 minut,2
20373,Pizza Dog,priloge: ostalo,1,5,2015,30 minut,1
20374,Zeliščna frtalja,jajčne jedi: omlete,2,5,2015,15 minut,1
20375,Spomladanski štrukeljček,prikuhe,2,5,2015,90 minut,4
20376,Ješprenj s kislim zeljem,enolončnice,3,5,2015,60 minut,2
20378,Kremna juhica,juhe in zakuhe: zelenjavne juhe,4,5,2015,30 minut,1
20379,Razpokana torta,sladice: torte,4,5,2015,30 minut,3
20380,Ovsena kaša z banano in orehi,sladice: ostalo,5,5,2015,15 minut,1
20381,Marmorni kolač - šarkelj,sladice: pecivo,5,5,2015,75 minut,3
20382,Bananin sladoled,sladice: sladoledi,5,5,2015,15 minut,1
20384,Jabolčne rožice ,sladice: ostalo,5,5,2015,120 minut,2
20385,Svinjski kare z zelišči,mesne jedi: svinjina,6,5,2015,30 minut,1
20386,Jabolčni kolač,sladice: pecivo,6,5,2015,60 minut,1
20387,Browniji z malinami,sladice: pecivo,6,5,2015,60 minut,1
20388,Tris tradicionalnih polent,priloge: ostalo,7,5,2015,15 minut,1
20389,Špageti s paradižnikom »ala fasulas«,testenine,7,5,2015,45 minut,1
20390,Ocvrte sardele »ala fasulas«,morska hrana: ribe,7,5,2015,90 minut,1
20391,Cheesecake pecivo iz pirine moke,sladice: pecivo,8,5,2015,90 minut,1
20392,Lazanja,mesne jedi: sesekljano meso,8,5,2015,90 minut,3
20393,Bešamel ,omake: prelivi,9,5,2015,15 minut,2
20394,Domača mlečna čokolada,sladice: ostalo,9,5,2015,120 minut,2
20395,Pizza sončnica,predjedi: tople,9,5,2015,90 minut,2
20396,Univerzalno testo,kruh,9,5,2015,15 minut,2
20397,Ajdov namaz,predjedi: namazi,10,5,2015,15 minut,2
20398,Sadna kupa,sladice: ostalo,10,5,2015,15 minut,1
20399,Čokoladni mafini,sladice: ostalo,11,5,2015,30 minut,3
20400,Pita s šparglji in čemaže,zelenjavne jed,11,5,201,90 minu,3
