id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20319,Goveji zrezki v omaki iz koreničja,mamamia,mesne jedi: govedina,31,3,2015,90 minut,2
20320,Ajdov kolač s suhim sadjem,npahor4,sladice: pecivo,31,3,2015,60 minut,2
20321,Vranični jušni žličniki,borutdez,juhe in zakuhe: jušne zakuhe,1,4,2015,45 minut,2
20322,Cvetačni stir fry,Mme,eksotika: Kitajska,1,4,2015,30 minut,2
20323,Palačinke iz pečice z Nuttelo in bananami,Jamjam,sladice: palačinke,2,4,2015,45 minut,2
20324,Pilav s svinjino in pečenim česnom,sarabande,mesne jedi: svinjina,2,4,2015,90 minut,1
20325,Hruškova poslastica,anamarija1,sladice: ostalo,3,4,2015,60 minut,1
20326,Pašteta dimljene šunke z marmelado rdeče čebule in hrenovo peno,anya_raikkonen,predjedi: hladne,3,4,2015,45 minut,2
20327,Sočen in hrustljav jagenček v pečici,RahXephon1,mesne jedi: drobnica,6,4,2015,240 minut,2
20328,Poslastica iz katerega koli sadja,Olga321,sladice: ostalo,6,4,2015,15 minut,1
20329,Pečeno kosilo po moje,Maja92,mesne jedi: perutnina,7,4,2015,90 minut,4
20330,Ocvrte miške,Maja92,sladice: pecivo,7,4,2015,45 minut,2
20331,Rožičev puding; ki pogreje ,Celeste,sladice: pudingi,7,4,2015,5 minut,1
20332,Testenine s tunino omako,Vanillia,testenine,8,4,2015,30 minut,1
20333,Carski praženec 2015,zlodej marko,sladice: ostalo,8,4,2015,30 minut,1
20334,Pečena ajdova kaša,missan,gobje jedi,8,4,2015,90 minut,2
20337,Nutellina zvezda,Chef95,sladice: ostalo,11,4,2015,75 minut,3
20338,Fantazija testenin in klobase,Chef95,testenine,11,4,2015,60 minut,3
20339,Piškotna torta z Nutello,midvakuhava,sladice: torte,12,4,2015,60 minut,2
20340,Torta Saint Honore,Chef95,sladice: torte,12,4,2015,90 minut,4
20341,Navaden biskvit,Vanillia,sladice: pecivo,13,4,2015,30 minut,1
20342,Rozinino bananino pecivo,Celeste,sladice: pecivo,13,4,2015,30 minut,2
20343,Anine rezine,anneycyrus,sladice: pecivo,13,4,2015,90 minut,1
20344,Pudingove rezine,Vanillia,sladice: pecivo,14,4,2015,30 minut,2
20345,Pirine palačinke s stopljenim sirom,Mme,sirove jedi,14,4,2015,45 minut,2
20346,Skutina pita,tibe,sladice: pecivo,15,4,2015,60 minut,2
20347,Bučkin polpet »ala fasulas«,fasulas,zelenjavne jedi,15,4,2015,30 minut,2
20348,Masleni piščanec s kuskusom,Mme,mesne jedi: perutnina,16,4,2015,30 minut,2
20349,Topla krompirjevo hrenova omaka s hrenovko,Tanja01,mesne jedi: ostalo,16,4,2015,75 minut,1
20350,Riževa solata s tuno in kislo smetano,piciikaa,solate,17,4,2015,45 minut,1
20351,Beljakov dvopek,piskrcek,sladice: ostalo,17,4,2015,45 minut,2
20352,Pečeni šparglji z makaroni,Pesjaner1,zelenjavne jedi,20,4,2015,60 minut,2
20355,Piščančji tunel ,14moniii,mesne jedi: perutnina,21,4,2015,75 minut,2
20356,Ovseni snickers,zivagreen,sladice: pecivo,21,4,2015,90 minut,2
20357,Čemaževa juha s krompirjem in slanino,dado1010,juhe in zakuhe: ostale juhe,21,4,2015,45 minut,2
20358,Jabolčno - skutin štrudelj z dodatkom banan,scobidoo1234,sladice: pecivo,22,4,2015,15 minut,1
20359,Planica puding,sa_m,sladice: pudingi,22,4,2015,90 minut,2
20360,Tunini polpeti Ekspres,topsi,morska hrana: ribe,22,4,2015,15 minut,1
20361,Ameriške palačinke,Vanillia,sladice: palačinke,23,4,2015,30 minut,3
20363,Najboljše domače testo za pizzo,BarByKaa,kruh,23,4,2015,60 minut,2
20364,Kraški kruhki,anasteele,kruh,24,4,2015,15 minut,1
20365,Sirup za zdravje,slivovi cmoki,ozimnica: pijače,30,4,2015,240 minut,2
20366,Čemaževo sirova juha,noangel,juhe in zakuhe: ostale juhe,29,4,2015,15 minut,1
20367,Prebranac po dolenjsko,noangel,enolončnice,29,4,2015,180 minut,2
20368,Čokoladni piškoti s čilijem,ivanal123,sladice: piškoti,29,4,2015,45 minut,2
20369,Masleni skutini vzhajanči,tulipanka,sladice: pecivo,30,4,2015,45 minut,1
20370,Žitni polpeti,pegasti,ostale jedi: polizdelki,30,4,2015,30 minut,2
20371,Karamelne lunice,tulipanka,sladice: pecivo,30,4,2015,45 minut,2
20372,Rumena soja v zrnju s čebulo in šparglji,Robi Š,zelenjavne jedi,1,5,2015,75 minut,2
20373,Pizza Dog,Vesper,priloge: ostalo,1,5,2015,30 minut,1
20374,Zeliščna frtalja,kristi_22,jajčne jedi: omlete,2,5,2015,15 minut,1
20375,Spomladanski štrukeljček,kristi_22,prikuhe,2,5,2015,90 minut,4
20376,Ješprenj s kislim zeljem,Chef95,enolončnice,3,5,2015,60 minut,2
20378,Kremna juhica,kristi_22,juhe in zakuhe: zelenjavne juhe,4,5,2015,30 minut,1
20379,Razpokana torta,tulipanka,sladice: torte,4,5,2015,30 minut,3
20380,Ovsena kaša z banano in orehi,sarabande,sladice: ostalo,5,5,2015,15 minut,1
20381,Marmorni kolač - šarkelj,Vanillia,sladice: pecivo,5,5,2015,75 minut,3
20382,Bananin sladoled,dobrejedi,sladice: sladoledi,5,5,2015,15 minut,1
20384,Jabolčne rožice ,pikapolonica80,sladice: ostalo,5,5,2015,120 minut,2
20385,Svinjski kare z zelišči,mamamia,mesne jedi: svinjina,6,5,2015,30 minut,1
20386,Jabolčni kolač,pikapolonica80,sladice: pecivo,6,5,2015,60 minut,1
20387,Browniji z malinami,pikapolonica80,sladice: pecivo,6,5,2015,60 minut,1
20388,Tris tradicionalnih polent,Pesjaner1,priloge: ostalo,7,5,2015,15 minut,1
20389,Špageti s paradižnikom »ala fasulas«,fasulas,testenine,7,5,2015,45 minut,1
20390,Ocvrte sardele »ala fasulas«,fasulas,morska hrana: ribe,7,5,2015,90 minut,1
20391,Cheesecake pecivo iz pirine moke,Nina_Nia,sladice: pecivo,8,5,2015,90 minut,1
20392,Lazanja,Vanillia,mesne jedi: sesekljano meso,8,5,2015,90 minut,3
20393,Bešamel ,Vanillia,omake: prelivi,9,5,2015,15 minut,2
20394,Domača mlečna čokolada,zivagreen,sladice: ostalo,9,5,2015,120 minut,2
20395,Pizza sončnica,MP214,predjedi: tople,9,5,2015,90 minut,2
20396,Univerzalno testo,ljuljak,kruh,9,5,2015,15 minut,2
20397,Ajdov namaz,sharonstone,predjedi: namazi,10,5,2015,15 minut,2
20398,Sadna kupa,kuharica k,sladice: ostalo,10,5,2015,15 minut,1
20399,Čokoladni mafini,Vanillia,sladice: ostalo,11,5,2015,30 minut,3
20400,Pita s šparglji in čemaže,Barbara_,zelenjavne jed,11,5,201,90 minut,3
