id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20075,Špecli s sirom; smetano in pršutom ,Ančikaa,testenine,11,11,2014,90 minut,3
20076,Martinov grozd ali Martinov kruh,April is cooking,kruh,12,11,2014,60 minut,3
20077,Krompirjev narastek z bučkami in pinjolami,majacebelica,zelenjavne jedi,12,11,2014,60 minut,2
20078,Špageti alla Siracusana,Levinjav,testenine,12,11,2014,30 minut,2
20079,Melisino vino,Levinjav,ozimnica: pijače,13,11,2014,240 minut,1
20080,Indijanka,ajga1,sladice: pecivo,13,11,2014,75 minut,1
20081,Pirini žepki z jabolčno - orehovim nadevom,sarabande,sladice: ostalo,13,11,2014,90 minut,2
20082,Orada s hrustljavo polento,abaximan,morska hrana: ribe,14,11,2014,60 minut,3
20083,Leni burek,SMARTY1,mesne jedi: sesekljano meso,17,11,2014,60 minut,2
20084,Slana rulada - piramida,SMARTY1,mesne jedi: sesekljano meso,17,11,2014,120 minut,2
20085,Orehovo - skutine kocke,SMARTY1,sladice: pecivo,18,11,2014,90 minut,1
20086,Jesenska juha »ala fasulas«,fasulas,juhe in zakuhe: zelenjavne juhe,17,11,2014,30 minut,1
20087,Harmonika kolač s cimetom,14moniii,sladice: ostalo,18,11,2014,120 minut,2
20088,Pečene krače divjega prašiča ,Mandi_doo,mesne jedi: divjačina,17,11,2014,240 minut,3
20089,Sočni polpetki,kepa11,morska hrana: ostalo,19,11,2014,60 minut,1
20090,Kokosove palčke,MihaelaB,sladice: pecivo,19,11,2014,60 minut,2
20091,Izvrstno pecivo brez peke za manj kot 5€,Omnomnom,sladice: pecivo,20,11,2014,45 minut,1
20092,File v ovoju s slanino ,Trixi,mesne jedi: perutnina,21,11,2014,75 minut,2
20093,Jajčna solata,ancica003,solate,24,11,2014,60 minut,2
20094,Babičina vroča čokolada,ancica003,napitki: brezalkoholni,24,11,2014,15 minut,1
20095,Fižolovi njoki s kislo repo in hrustljavo slanino,April is cooking,priloge: ostalo,25,11,2014,45 minut,2
20096,Skutine rezine z višnjami,nxyz,sladice: pecivo,25,11,2014,30 minut,2
20097,Pirin kruh iz ponve,andreja m,kruh,26,11,2014,30 minut,1
20098,Korenčkova pita z jabolki,tibe,sladice: pecivo,26,11,2014,60 minut,2
20099,Moja mega raca,sportdelta,mesne jedi: perutnina,26,11,2014,150 minut,3
20101,Svinjski medaljončki v ovoju slanine s skutno-smetanovo omako,Ančikaa,mesne jedi: svinjina,27,11,2014,60 minut,2
20102,Ajdovi polpeti,danica85,zelenjavne jedi,27,11,2014,60 minut,2
20103,Božični piškoti,mopsika,sladice: piškoti,1,12,2014,75 minut,1
20104,Medeni božični piškoti,mopsika,sladice: piškoti,2,12,2014,60 minut,1
20105,Pogača žemljevka,mopsika,sladice: ostalo,2,12,2014,120 minut,1
20106,Jajca s porom in mandarino,gurmankaH,jajčne jedi: ostalo,2,12,2014,15 minut,1
20107,Metini piškoti,SMARTY1,sladice: piškoti,2,12,2014,120 minut,2
20108,Vložena paprika drugače,pultica,ozimnica: ostalo,3,12,2014,240 minut,2
20109,Mekike,svenska,jajčne jedi: ostalo,3,12,2014,30 minut,2
20110,Banane v testu s pudingom,cincila73,sladice: ostalo,3,12,2014,45 minut,1
20111,Tortilje na moj način :),božiček1,zelenjavne jedi,3,12,2014,30 minut,2
