id,dan,mesec,leto
20312,25,3,2015
20313,25,3,2015
20314,27,3,2015
20315,27,3,2015
20316,28,3,2015
20317,28,3,2015
20318,30,3,2015
20319,31,3,2015
20320,31,3,2015
20321,1,4,2015
20322,1,4,2015
20323,2,4,2015
20324,2,4,2015
20325,3,4,2015
20326,3,4,2015
20327,6,4,2015
20328,6,4,2015
20329,7,4,2015
20330,7,4,2015
20331,7,4,2015
20332,8,4,2015
20333,8,4,2015
20334,8,4,2015
20337,11,4,2015
20338,11,4,2015
20339,12,4,2015
20340,12,4,2015
20341,13,4,2015
20342,13,4,2015
20343,13,4,2015
20344,14,4,2015
20345,14,4,2015
20346,15,4,2015
20347,15,4,2015
20348,16,4,2015
20349,16,4,2015
20350,17,4,2015
20351,17,4,2015
20352,20,4,2015
20355,21,4,2015
20356,21,4,2015
20357,21,4,2015
20358,22,4,2015
20359,22,4,2015
20360,22,4,2015
20361,23,4,2015
20363,23,4,2015
20364,24,4,2015
20365,30,4,2015
20366,29,4,2015
20367,29,4,2015
20368,29,4,2015
20369,30,4,2015
20370,30,4,2015
20371,30,4,2015
20372,1,5,2015
20373,1,5,2015
20374,2,5,2015
20375,2,5,2015
20376,3,5,2015
20378,4,5,2015
20379,4,5,2015
20380,5,5,2015
20381,5,5,2015
20382,5,5,2015
20384,5,5,2015
20385,6,5,2015
20386,6,5,2015
20387,6,5,2015
20388,7,5,2015
20389,7,5,2015
20390,7,5,2015
20391,8,5,2015
20392,8,5,2015
20393,9,5,2015
20394,9,5,2015
20395,9,5,2015
20396,9,5,2015
20397,10,5,2015
20398,10,5,2015
20399,11,5,2015
20400,11,5,2015
