id,priloznost
20036,božič; velika noč; novo leto
20076,martinovo
20099,martinovo
20103,božič; novo leto; miklavževo
20104,božič; novo leto; miklavževo
20138,božič; novo leto; miklavževo
20139,božič; velika noč; novo leto
20143,božič; novo leto; miklavževo
20149,božič; novo leto; velika noč
20151,božič; novo leto
20162,martinovo
20167,božič; novo leto; miklavževo
20216,božič; novo leto; miklavževo
20249,pust
20293,velika noč
20317,rojstni dan otroka; valentinovo
20330,pust
