id,ime_recepta
20207,Muffini s pistacijami
20208,Muffini iz ajdove moke
20209,Kavna torta
20210,Tomov souffle (sufle) 
20211,Ajdova torta z ribezovo marmelado; lešniki in jabolki 
20212,Kivi in mascarpone pita
20213,Koruzni kruh
20214,Pecivo s srcem
20215,Pomarančno - čokoladni marmorni kolač
20216,Finski božični piškoti
20217,Sadna jogurtova strjenka
20218,Pirin narastek z gobicami
20219,Špageti s česnom; oljem in čilijem 
20220,Ričota
20221,Pasijonkin tiramisu
20222,Francoska solata - strjenka
20223,Rižev narastek
20224,Napitek za lepši spanec
20225,Peresno lahko pecivo z grškim jogurtom
20226,Indijančki
20227,Čokoladni hlebčki
20228,Nutellčki
20229,Moj domači kruhek
20230,Čokoladni kolač
20231,Limonini kolački
20232,Pečena svinjska rebrca s šampanjcem
20233,Torta čokoladna mavrica
20234,Pasijonkina pita
20235,Slana pita
20236,Kavina torta z ricotto
20237,Piškotki Philadelphija
20238,Mandljev kruh 
20239,Narastek iz prosene kaše
20240,Jabolčna torta z orehi; belo čokolado in cimetom 
20241,Pomarančni marmorni kolač
20242,Medenjaki
20243,Fini keksi
20244,Čokoladni kolački z avokadom; banano in mandlji  
20245,Presni ''sirni'' namaz
20246,Krekerji iz semen
20247,Marmeladni muffini
20248,Borovničeva "krašotica" 
20249,Hitri krofi
20250,Litrski kruh
20251,Žepki z avokadom
20252,Bučkina juha
20253,Opičji kruh aka Monkey Bread
20254,Valentinov kolač s srcem
20255,Hrustljavi čokolini
20256,Tabasco omaka malce drugače
20257,Pisana solata z avokadom
20258,Lovska ali stefani pečenka po moje
20259,Mini krofki 
20260,Tortica za valentinovo
20261,Pustni piškoti
20262,Pustne bombetke brez cvrtja - iz pečice
20263,Borovničeva torta 
20264,Jogurtova torta z avokadom
20265,Krompirjeva torta s špinačo; pršutom; sirom 
20266,Čokoladne vrtnice
20267,Otroška torta
20268,Motovilčeva solata s postrvjo
20269,Kašnice; kašne klobase 
20270,Kozice v smetanovi omaki
20271,Jagodna torta z Linolado 
20272,Ričet
20275,Kuskusovi žličniki s čemažem ali špinačo
20276,Mini tortice
20277,Pomarančni biskvit
20278,Bordo marmelada 
20279,Krogci z gresom in višnjami
20280,Pica kruh v obliki rože
20281,Pizza sonce
20282,Skrite hrenovke
20283,Palačinke v pečici
20284,Čokoladni rezanci
20285,Bakalca
20286,Jogurtov biskvit za rulado
20287,Krompirjevo - ribje polpete
20288,Jagodna "krašotica" 
20289,Limonine tortice
20290,Pekoče testenine 2 »ala fasulas«
20291,Prleška ajdova župa »ala fasulas«
20292,Proteinske kroglice s temno čokolado
20293,Velikonočna šunka s kostjo v krušnem testu
20294,Špinačno - pirini njoki
20295,Čokoladni kolač s hruško
20296,Dream mix
20298,Korenčkova solata z dodatki
20299,Čokoladna salama
20300,Makovčki
20301,Piščanec v kokosu
20302,Pogača
20303,Soba rezanci z azijskimi okusi
20304,Kavina torta z domačim pudingom
20305,Domači kavni puding
20306,Piškoti kavna zrna
20307,Solata s svežo jogurtovo polivko
20308,Babičini žepki
20309,Malinine sanje
20310,Testenine s tuno; repki kozic in rakovimi palčkami 
20311,Telečji navihančki
20312,Kremna gobja omakica
20313,Osja gnezda s kokosom
20314,Kremna čemaževa juha
20315,Testenine s čemažem
20316,Zebrice
20317,Makova tortica z mascarpone sirom
20318,Chia puding z mangom
20319,Goveji zrezki v omaki iz koreničja
20320,Ajdov kolač s suhim sadjem
20321,Vranični jušni žličniki
20322,Cvetačni stir fry
20323,Palačinke iz pečice z Nuttelo in bananami
20324,Pilav s svinjino in pečenim česnom
20325,Hruškova poslastica
20326,Pašteta dimljene šunke z marmelado rdeče čebule in hrenovo peno
20327,Sočen in hrustljav jagenček v pečici
20328,Poslastica iz katerega koli sadja
20329,Pečeno kosilo po moje
20330,Ocvrte miške
20331,Rožičev puding; ki pogreje 
20332,Testenine s tunino omako
20333,Carski praženec 2015
20334,Pečena ajdova kaša
20337,Nutellina zvezda
20338,Fantazija testenin in klobase
20339,Piškotna torta z Nutello
20340,Torta Saint Honore
20341,Navaden biskvit
20342,Rozinino bananino pecivo
20343,Anine rezine
20344,Pudingove rezine
20345,Pirine palačinke s stopljenim sirom
20346,Skutina pita
20347,Bučkin polpet »ala fasulas«
20348,Masleni piščanec s kuskusom
20349,Topla krompirjevo hrenova omaka s hrenovko
20350,Riževa solata s tuno in kislo smetano
20351,Beljakov dvopek
20352,Pečeni šparglji z makaroni
20355,Piščančji tunel 
20356,Ovseni snickers
20357,Čemaževa juha s krompirjem in slanino
20358,Jabolčno - skutin štrudelj z dodatkom banan
20359,Planica puding
20360,Tunini polpeti Ekspres
20361,Ameriške palačinke
20363,Najboljše domače testo za pizzo
20364,Kraški kruhki
20365,Sirup za zdravje
20366,Čemaževo sirova juha
20367,Prebranac po dolenjsko
20368,Čokoladni piškoti s čilijem
20369,Masleni skutini vzhajanči
20370,Žitni polpeti
20371,Karamelne lunice
20372,Rumena soja v zrnju s čebulo in šparglji
20373,Pizza Dog
20374,Zeliščna frtalja
20375,Spomladanski štrukeljček
20376,Ješprenj s kislim zeljem
20378,Kremna juhica
20379,Razpokana torta
20380,Ovsena kaša z banano in orehi
20381,Marmorni kolač - šarkelj
20382,Bananin sladoled
20384,Jabolčne rožice 
20385,Svinjski kare z zelišči
20386,Jabolčni kolač
20387,Browniji z malinami
20388,Tris tradicionalnih polent
20389,Špageti s paradižnikom »ala fasulas«
20390,Ocvrte sardele »ala fasulas«
20391,Cheesecake pecivo iz pirine moke
20392,Lazanja
20393,Bešamel 
20394,Domača mlečna čokolada
20395,Pizza sončnica
20396,Univerzalno testo
20397,Ajdov namaz
20398,Sadna kupa
20399,Čokoladni mafini
20400,Pita s šparglji in čemažem
