id,ime_recepta,vrsta_jedi,dan,mesec,leto,cas_priprave
088,Svinjske zarebrnice z jabolki in smetano,mesne jedi: svinjina,29,12,1998,ni doloèen
089,Svinjski file v mrežici,mesne jedi: svinjina,24,1,2000,ni doloèen
090,Svinjski zrezki v omaki,mesne jedi: svinjina,17,3,1999,ni doloèen
091,Šunka v testu,mesne jedi: svinjina,26,6,1998,ni doloèen
092,Tatarski biftek,mesne jedi: govedina,14,12,1998,ni doloèen
093,Teleèja kraèa,mesne jedi: teletina,26,9,2000,ni doloèen
094,Zagrebški zrezki,mesne jedi: svinjina,18,12,1998,ni doloèen
095,Zdrobovi zrezki,mesne jedi: sesekljano meso,25,1,1999,ni doloèen
096,Golobice na žaru,gobje jedi,26,7,1999,ni doloèen
097,Kebabe,žar,16,6,1998,ni doloèen
098,Ledvice po korejsko,žar,11,10,1999,ni doloèen
099,Nabodena jetra,žar,16,6,1998,ni doloèen
100,Radiè na žaru,žar,16,6,1998,ni doloèen
101,Zrezki na žaru,žar,26,7,1999,ni doloèen
102,Omleta iz buèk,jajène jedi: omlete,20,12,1997,ni doloèen
103,Ajdovi zvitki,priloge: ostalo,30,1,1999,ni doloèen
104,Ajdovi žganci s krompirjem,priloge: ostalo,30,1,1999,ni doloèen
105,Burek,priloge: ostalo,21,10,1999,ni doloèen
106,Cvetaèa s kislo smetano,priloge: ostalo,30,3,1999,ni doloèen
107,Dolma,priloge: ostalo,21,6,2000,ni doloèen
108,Gluhi štruklji po gorenjsko,priloge: ostalo,1,12,1998,ni doloèen
109,Gravèe na tavèe,priloge: ostalo,2,10,2000,ni doloèen
110,Kitajski spomladanski zvitki,eksotika: Kitajska,22,3,1999,ni doloèen
111,Koruzni poljubèki,priloge: ostalo,11,8,1999,ni doloèen
113,Krompir iz mikrovalovne peèice,priloge: krompir,1,12,1998,ni doloèen
114,Krompir za gobarje,priloge: krompir,11,10,1999,ni doloèen
115,Kruhovi cmoki,priloge: cmoki,13,10,1998,ni doloèen
116,Kuhano vino,napitki: alkoholni,21,2,2000,ni doloèen
117,Palaèinke po kranjsko,priloge: ostalo,30,1,1999,ni doloèen
118,Pasticio iz polente in klobas,priloge: ostalo,27,1,1999,ni doloèen
119,Peèen krompir,priloge: krompir,22,4,1998,ni doloèen
120,Peèen sir,sirove jedi,27,12,1999,ni doloèen
121,Pire iz jajèevcev,priloge: ostalo,22,11,1999,ni doloèen
122,Polnjene lune,predjedi: tople,11,10,1999,ni doloèen
123,Popeèena polenta,priloge: ostalo,27,1,1999,ni doloèen
124,Por kot priloga,priloge: ostalo,23,11,1998,ni doloèen
125,Prebranac,priloge: ostalo,3,12,1998,ni doloèen
126,Priloga za vse,priloge: ostalo,5,9,1999,ni doloèen
127,Sangria po moje,napitki: alkoholni,7,8,2000,ni doloèen
128,Sirov burek,sirove jedi,22,10,2000,ni doloèen
129,Sirov fondue,sirove jedi,1,12,1998,ni doloèen
130,Gratinirane testenine,testenine,24,1,2000,ni doloèen
131,Krompirjevi njoki,testenine,26,6,1998,ni doloèen
132,Koushari,testenine,19,4,2000,ni doloèen
133,Lazanja,testenine,24,11,1998,ni doloèen
134,Lazanja s špinaèo in skuto,testenine,29,12,1998,ni doloèen
135,Mesni njoki,testenine,26,6,1998,ni doloèen
136,Mlinci,testenine,2,11,1999,ni doloèen
137,Njoki,testenine,9,1,1998,ni doloèen
138,Njoki z gorgonzolo,testenine,24,6,1999,ni doloèen
139,Pašta s paradižnikom in skuto,testenine,22,4,1998,ni doloèen
140,Ravioli z gorgonzolo,testenine,5,4,1998,ni doloèen
141,Slivovi cmoki,sladice: ostalo,24,9,1998,60 minut
142,Široki rezanci z brokolijem,testenine,21,9,2000,ni doloèen
143,Špageti - ala Brenèo,testenine,26,9,2000,ni doloèen
144,Špageti - ala Maja,testenine,22,2,1999,ni doloèen
145,Špageti s paradižnikom,testenine,21,3,2000,ni doloèen
146,Testenine ala carbonara,testenine,5,2,2000,ni doloèen
147,Testenine s tuno,testenine,6,11,1999,ni doloèen
148,Testenine z bešamelom,testenine,16,7,1998,ni doloèen
149,Zdrobove kocke za juho,testenine,25,1,1999,ni doloèen
150,Zdrobove kocke za juho,juhe in zakuhe: jušne zakuhe,25,1,1999,ni doloèen
151,Zdrobovi cmoki,juhe in zakuhe: jušne zakuhe,1,7,1999,ni doloèen
152,Zdrobovi njoki,testenine,26,6,1998,ni doloèen
153,Francoski rogljièki,kruh,26,6,1998,ni doloèen
155,Klasièna Pizza,kruh,3,7,1998,ni doloèen
156,Ovseni kruh,kruh,25,10,2000,ni doloèen
157,Polržen kruh,kruh,29,11,1999,ni doloèen
158,Polržen kruh s suhim sadjem,kruh,26,4,1999,ni doloèen
159,Pšeniène tortilje,kruh,30,3,1999,ni doloèen
160,Skavtski kruhki,kruh,26,4,1999,ni doloèen
161,Biskvitni vložek,juhe in zakuhe: jušne zakuhe,27,1,2000,ni doloèen
162,Dušeno rdeèe zelje,prikuhe,2,11,1999,ni doloèen
163,Jernejeve dušene buèke,prikuhe,17,3,1999,ni doloèen
164,Jetrni cmoèki,juhe in zakuhe: jušne zakuhe,27,1,2000,ni doloèen
165,Leèa v omaki,prikuhe,22,4,1998,ni doloèen
166,Rumena buèa,prikuhe,7,7,1998,ni doloèen
167,Zdrobovi žlièniki,juhe in zakuhe: jušne zakuhe,11,7,2000,ni doloèen
168,Sezona belušev,zelenjavne jedi,22,4,1998,ni doloèen
169,Beluši po milansko,zelenjavne jedi,10,6,1999,ni doloèen
170,Beluši po poljsko,zelenjavne jedi,29,12,1998,ni doloèen
171,Blitvine polpete,zelenjavne jedi,1,9,1999,ni doloèen
172,Brstièni ohrovt v omaki,zelenjavne jedi,26,4,1999,ni doloèen
173,Buèna omleta,zelenjavne jedi,11,8,1999,ni doloèen
174,Dušena blitva,zelenjavne jedi,8,2,1999,ni doloèen
175,Dušene buèe s smetano,zelenjavne jedi,10,6,1999,ni doloèen
176,Egiptovski falafel,eksotika: ostale dežele,22,11,1998,ni doloèen
177,Falafel,eksotika: ostale dežele,19,4,2000,ni doloèen
178,Grahov pire,priloge: ostalo,11,7,2000,ni doloèen
179,Jajèna jed z zelenjavo,zelenjavne jedi,7,6,1999,ni doloèen
180,Regrat po kraljevsko,zelenjavne jedi,12,3,1998,ni doloèen
181,Lasagna z malancani,testenine,1,8,2000,ni doloèen
182,Loparnica,zelenjavne jedi,15,2,2000,ni doloèen
183,Malancani po moje,zelenjavne jedi,22,11,1999,ni doloèen
184,Nadevane buèke,zelenjavne jedi,20,7,2000,ni doloèen
185,Ocvrte nadevane paprike,zelenjavne jedi,27,12,1999,ni doloèen
186,Ocvrti beluši,zelenjavne jedi,19,6,1999,ni doloèen
187,Ohrovtovi žlièniki,zelenjavne jedi,26,1,1999,ni doloèen
188,Polnjene artièoke,zelenjavne jedi,13,3,2000,ni doloèen
189,Polpetki iz buèk,zelenjavne jedi,7,7,1998,ni doloèen
190,Porov narastek,zelenjavne jedi,1,7,1999,ni doloèen
191,Pozejdonova cvetaèa,zelenjavne jedi,29,6,1998,ni doloèen
192,Ragu s stroènicami,zelenjavne jedi,26,11,1998,ni doloèen
193,Sarma,zelenjavne jedi,21,2,2000,ni doloèen
194,Sladko dušeno zelje z obranimi suhimi kostmi,zelenjavne jedi,3,5,2000,ni doloèen
195,Šara,enolonènice,11,10,2000,ni doloèen
196,Špinaèni timbale,zelenjavne jedi,28,12,1998,ni doloèen
197,Vloženi malancani,ozimnica: slani shranki,6,11,1999,ni doloèen
198,Vloženi malancani,ozimnica: slani shranki,5,4,2000,ni doloèen
199,Zelenjavna gibanica,zelenjavne jedi,15,3,2000,ni doloèen
200,Zelenjavna ponev,zelenjavne jedi,26,7,1999,ni doloèen
201,Zelenjavni zvitki,zelenjavne jedi,14,1,1998,ni doloèen
202,Èebula kralja Matjaža,gobje jedi,29,6,1998,ni doloèen
203,Gobe na žaru,gobje jedi,22,4,1998,ni doloèen
204,Gobji narastek,gobje jedi,16,9,1999,ni doloèen
205,Gobji sendviè,gobje jedi,21,3,2000,ni doloèen
206,Gobove bombice,gobje jedi,11,8,1999,ni doloèen
207,Gobe s sirom,gobje jedi,16,9,1999,ni doloèen
208,Hladne gobe,gobje jedi,29,6,1998,ni doloèen
209,Mavrahi z jajci,gobje jedi,22,4,1998,ni doloèen
210,Omleta z gobami,gobje jedi,16,9,1999,ni doloèen
211,Peèene nadevane gobe na ohrovtovih listih,gobje jedi,16,9,1999,ni doloèen
212,Polnjene golobice,gobje jedi,29,6,1998,ni doloèen
213,Polnjeni šampinjoni,gobje jedi,7,7,1998,ni doloèen
214,Polpetki iz šampinjonov,gobje jedi,7,7,1998,ni doloèen
215,Gratinirane školjke,morska hrana: školjke,27,12,1999,ni doloèen
216,Hobotnica v solati,morska hrana: ostalo,13,11,1998,ni doloèen
217,Koktejl iz škampovih repkov,morska hrana: raki,1,9,1998,ni doloèen
218,Kuhana riba,morska hrana: ribe,6,4,1998,ni doloèen
219,Kapitanove školjke,morska hrana: školjke,22,7,1999,ni doloèen
220,Lososovi zrezki,morska hrana: ribe,20,12,1997,ni doloèen
221,Lososovi zrezki s sadjem,morska hrana: ribe,28,12,1999,ni doloèen
222,Marinirane ribe,morska hrana: ribe,26,7,1999,ni doloèen
223,Morska èrna rižota,morska hrana: ostalo,1,9,1998,ni doloèen
224,Morski sadeži v solati,morska hrana: ostalo,1,12,1998,ni doloèen
225,Ocvrti škampovi repki,morska hrana: raki,20,12,1997,ni doloèen
226,Paella,morska hrana: ostalo,26,6,1998,ni doloèen
227,Polnjeni lignji,morska hrana: ostalo,25,12,1998,ni doloèen
228,Ribji zrezki,morska hrana: ribe,22,7,1999,ni doloèen
229,Rusli,morska hrana: ribe,7,8,2000,ni doloèen
230,Som po donavsko,morska hrana: ribe,5,7,2000,ni doloèen
232,Široki rezanci z morskimi sadeži,morska hrana: ostalo,22,11,1998,ni doloèen
233,Tunina v pivskem testu,morska hrana: ribe,17,5,1998,ni doloèen
234,Zvite rože,morska hrana: školjke,20,12,1997,ni doloèen
