id,vrsta_jedi
304,sladice: ostalo
305,sladice: kompoti
306,sladice: pecivo
307,sladice: pecivo
308,sladice: pecivo
309,sladice: pecivo
310,sladice: pecivo
311,sladice: pecivo
312,sladice: torte
313,napitki: brezalkoholni
314,sladice: sladoledi
315,sladice: pudingi
316,sladice: sladoledi
317,sladice: ostalo
318,sladice: pecivo
319,sladice: ostalo
320,sladice: piškoti
321,sladice: ostalo
322,sladice: pecivo
323,sladice: pecivo
324,sladice: pecivo
325,sladice: pecivo
326,sladice: pecivo
327,sladice: pecivo
328,sladice: pecivo
329,sladice: pecivo
330,sladice: ostalo
331,napitki: brezalkoholni
332,sladice: pecivo
333,sladice: pecivo
334,sladice: pecivo
338,sladice: pecivo
339,sladice: piškoti
340,sladice: piškoti
341,sladice: sladoledi
342,sladice: pecivo
343,sladice: pecivo
344,sladice: torte
345,ozimnica: kompoti
346,sladice: pecivo
347,sladice: pecivo
348,sladice: torte
349,sladice: piškoti
350,sladice: ostalo
351,sladice: piškoti
352,sladice: pecivo
353,sladice: torte
354,napitki: brezalkoholni
355,sladice: piškoti
356,sladice: pecivo
358,sladice: pecivo
359,sladice: piškoti
360,napitki: brezalkoholni
361,sladice: piškoti
362,sladice: pecivo
363,sladice: pecivo
364,sladice: pecivo
365,sladice: piškoti
366,sladice: pecivo
367,sladice: ostalo
368,sladice: sladoledi
369,sladice: ostalo
370,sladice: ostalo
371,sladice: pecivo
373,sladice: piškoti
374,sladice: torte
375,sladice: torte
376,sladice: pecivo
377,sladice: ostalo
378,sladice: potice
379,sladice: pecivo
380,sladice: pecivo
381,sladice: piškoti
383,sladice: pecivo
384,sladice: ostalo
385,sladice: piškoti
386,sladice: ostalo
387,sladice: pecivo
388,sladice: ostalo
389,sladice: ostalo
390,sladice: ostalo
391,sladice: pecivo
392,sladice: pecivo
393,sladice: pecivo
394,sladice: palaèinke
395,sladice: pecivo
396,sladice: pecivo
397,sladice: pecivo
398,sladice: ostalo
399,sladice: pecivo
400,sladice: torte
