"id","ime","datum","opis"
"83","Roncolino","2007-03-26","Šef, (kuhar; komentator; fotograf)"
"84","kobra 1","2006-06-15","Šef, (komentator)"
"85","katjushka","2004-09-15","Šef, (komentator)"
"86","mizarka","2006-05-24","Šef, ""(komentator; fotograf)"""
"87","Lisa","2005-01-13","Šef, (komentator)"
"88","dari","2004-08-21","Šef, (komentator)"
"89","anaeva","2007-11-14","Šef, (komentator)"
"90","Riko","2001-08-30","Šef, ""(kuhar; komentator)"""
"91","Marjetka cvetka","2004-12-27","Šef, ""(kuhar; komentator)"""
"92","DBpek","2012-06-19","Šef, ""(komentator; fotograf)"""
"93","aki","2004-04-23","Šef, ""(kuhar; komentator)"""
"94","Vesna rada peče","2013-11-09","Šef, ""(kuhar; fotograf)"""
"95","Lijana","2002-12-06","Šef, (komentator)"
"96","sweets","2008-08-16","Šef, (kuhar; komentator; fotograf)"
"97","SINEJA","2006-09-22","Šef, ""(komentator; fotograf)"""
"98","riba-ribica","2005-02-25","Šef, (komentator)"
"99","Fala Slonček","2015-10-02","Šef, ""(kuhar; fotograf)"""
"100","buča","2006-07-29","Šef, (komentator)"
"101","kača","2004-01-11","Šef, ""(komentator; fotograf)"""
"102","majdi","2003-11-18","Šef, (kuhar; komentator; fotograf)"
"103","andreja m","2010-10-12","Šef, ""(kuhar; komentator)"""
"104","Milži","2007-06-08","Šef, (komentator)"
"105","marelica","2005-08-27","Šef, (komentator)"
"106","spodbe","2009-12-18","Šef, ""(komentator; fotograf)"""
"107","MiriBon","2011-10-25","Šef, (komentator)"
"108","katrin11","2010-01-03","Šef, (komentator)"
"109","ledenka_","2009-12-27","Šef, (kuhar; komentator; fotograf)"
"110","Anomis","2003-11-04","Šef, ""(kuhar; komentator)"""
"111","irenakr","2010-11-03","Šef, ""(komentator; fotograf)"""
"112","zeta","2009-05-21","Šef, (komentator)"
"113","daga","2007-05-18","Šef, ""(kuhar; komentator)"""
"114","RadaJem","2006-06-12","Šef, (komentator)"
"115","angie.orhideja","2008-07-14","Šef, ""(komentator; fotograf)"""
"116","Dolores","2005-06-20","Šef, (komentator)"
"117","teta torta","2005-09-06","Šef, (komentator)"
"118","Nena-morje","2005-12-21","Šef, ""(komentator; fotograf)"""
"119","rdkapica","2006-07-31","Šef, (komentator)"
"120","tumpika","2006-03-14","Šef, (komentator)"
"121","spagon","2007-06-12","Šef, (komentator)"
"122","anja27","2005-06-02","Šef, ""(kuhar; komentator)"""
"123","Venturini","2002-01-29","Šef, ""(kuhar; komentator)"""
"124","ksenjako","2004-10-10","Šef, (komentator)"
"125","Anemiilat","2016-09-07","Šef, ()"
"126","renata69","2007-03-27","Šef, (komentator)"
"127","terlikar 1","2005-03-10","Šef, ""(kuhar; komentator)"""
"128","Lady_L","2003-08-26","Šef, (komentator)"
"129","sinicka","2010-06-02","Šef, ""(komentator; fotograf)"""
"130","MissLady","2005-07-01","Šef, (kuhar; komentator; fotograf)"
"131","s0ncek*","2007-04-23","Šef, (komentator)"
"132","receptor","2008-10-18","Šef, ""(komentator; fotograf)"""
"133","ena mš","2006-11-18","Šef, (komentator)"
"134","Teka","2005-08-21","Šef, (komentator)"
"135","fasulas","2007-12-26","Šef, (kuhar; komentator; fotograf)"
"136","pinka","2004-06-17","Šef, (komentator)"
"137","mojezlato","2012-12-10","Šef, (komentator)"
"138","matjaž","2002-01-13","Šef, (komentator)"
"139","Sanja_G","2011-12-11","Šef, ""(kuhar; fotograf)"""
"140","jančibake","2014-09-27","Šef, ""(kuhar; fotograf)"""
"141","val","2006-03-07","Šef, ""(kuhar; komentator)"""
"142","veverica","2001-11-12","Šef, (komentator)"
"143","drejcek","2004-01-11","Šef, (komentator)"
"144","bučmanka","2013-04-11","Šef, ()"
"145","Vesnuska","2011-01-01","Šef, ""(kuhar; komentator)"""
"146","titta","2006-09-28","Šef, (komentator)"
"147","666","2005-07-14","Šef, ""(kuhar; komentator)"""
"148","Sy","2003-12-11","Šef, (komentator)"
"149","Kristalka","2007-03-31","Šef, (komentator)"
"150","tedyka","2009-04-23","Šef, (komentator)"
"151","Katja D","2006-05-20","Šef, (kuhar; komentator; fotograf)"
"152","OlivaB","2011-07-05","Šef, (kuhar; komentator; fotograf)"
"153","_ZALA_","2003-10-21","Šef, (komentator)"
"154","VilmaS","2003-10-10","Šef, (komentator)"
"155","jaša","2008-02-01","Šef, (komentator)"
"156","čebulka","2009-01-31","Pomočnik, (komentator)"
"157","Rožica","2004-09-13","Pomočnik, (komentator)"
"158","galyka","2004-10-13","Pomočnik, (komentator)"
"159","shari2007","2012-06-29","Pomočnik, (komentator)"
"160","TORTICA","2002-08-05","Pomočnik, (komentator)"
"161","ninkica","2008-10-31","Pomočnik, ""(komentator; fotograf)"""
"162","tanjaj","2007-06-15","Pomočnik, (komentator)"
"163","nektarina","2006-02-15","Pomočnik, (komentator)"
"164","linolina","2008-03-15","Pomočnik, (kuhar; komentator; fotograf)"
"165","silva","2002-10-01","Pomočnik, (komentator)"
"166","mali kuhar","2011-10-14","Pomočnik, ""(kuhar; komentator)"""
"167","sweety","2006-03-27","Pomočnik, ""(komentator; fotograf)"""
"168","alexis","2006-05-30","Pomočnik, (komentator)"
"169","klavdijaB","2004-03-31","Pomočnik, (komentator)"
"170","tinca","2001-09-03","Pomočnik, (komentator)"
"171","Jannaa","2009-11-29","Pomočnik, ""(komentator; fotograf)"""
"172","jankica","2005-10-12","Pomočnik, (komentator)"
"173","terezija","2003-05-26","Pomočnik, (komentator)"
"174","lisicka","2004-12-22","Pomočnik, (komentator)"
"175","Jerneja USA","2006-11-24","Pomočnik, (komentator)"
"176","čoko","2007-11-19","Pomočnik, (komentator)"
"177","slivovi cmoki","2012-08-07","Pomočnik, (kuhar; komentator; fotograf)"
"178","t-baby","2003-12-14","Pomočnik, ""(kuhar; komentator)"""
"179","beva","2010-01-07","Pomočnik, (komentator)"
"180","SUZANAZ","2003-06-11","Pomočnik, (komentator)"
"181","natalikuha","2014-07-06","Začetnik, "
"182","vitta555","2013-11-02","Začetnik, "
"183","November_Moon","2013-11-27","Začetnik, "
"184","bojanz6","2014-01-28","Začetnik, "
"185","JelkaF","2014-09-25","Začetnik, "
